"NodeNumber,LT_className_decision,GT_className_decision,LT_WeightCorrect,GT_WeightCorrect,LT_TotalWeight,GT_TotalWeight"
14,0,1,0.00457621813293,0.00457621813293,0.00566017785921,0.00830885576744
13,nan,0,nan,0.00433583890509,nan,0.00698451681332
56,1,0,0.00445001526883,0.00904344647152,0.00709869317707,0.00904344647152
55,0,0,0.322053077984,0.0174575319841,0.358755960107,0.0174575319841
54,0,nan,0.00588398278613,nan,0.00588398278613,nan
53,0,0,0.00325187917882,0.00445001526883,0.00590055708705,0.00577435422295
25,0,nan,0.00661793472138,nan,0.00661793472138,nan
50,0,0,0.0102243694918,0.0122781125806,0.0194947421706,0.0144460320331
49,0,1,0.00758771808391,0.0246824280253,0.00758771808391,0.0399637741057
23,0,nan,0.00577435422295,nan,0.00577435422295,nan
22,0,0,0.0100744719408,0.00661793472138,0.0100744719408,0.0105909515837
45,0,nan,0.0100744719408,nan,0.0100744719408,nan
21,0,nan,0.0181391884312,nan,0.0181391884312,nan
42,1,1,0.0152896125316,0.00758771808391,0.0166139514857,0.0149267904888
41,1,0,0.0232356462563,0.02817018003,0.0386431952008,0.0451507136076
40,1,nan,0.011923556989,nan,0.011923556989,nan
19,1,1,0.0055339749951,0.011923556989,0.00685831394922,0.011923556989
8,0,nan,0.00650375835763,nan,0.00650375835763,nan
16,0,1,0.00650375835763,0.00867167781018,0.00782809731175,0.0099960167643
32,1,1,0.013121693079,0.0184273153466,0.013121693079,0.023598468299
31,1,1,0.109423559901,0.0251594264318,0.112072237809,0.0291324432941
