"NodeNumber,GiniIncrease,ColumnName,ValueOfSplit,RangeBetweenSplits"
0,0.662020767111,YesMr,0.0,0.181818181818
1,0.658994665347,FamilySize,4.5,0.909090909091
2,0.747230523982,Pclass,1.5,0.181818181818
3,0.681751628767,Pclass,2.5,0.181818181818
4,0.725757575758,YesMiss,0.0,0.181818181818
5,0.565548266167,AgeGroup,0.75,0.136363636364
6,0.81195550684,nTicketStrings,2.5,0.181818181818
7,0.832558657352,Gender,0.0,0.181818181818
8,0.559294241112,TicketDots,0.5,0.0909090909091
9,0.866666666667,FamilySize,6.5,0.545454545455
10,0.659340659341,Fare,0.25,0.136363636364
11,0.528395802099,CabinNumbers,53.1818181818,13.5454545455
12,0.778409090909,CabinNumbers,7.0,8.0
13,0.825286321017,Fare,0.25,0.136363636364
14,0.580952380952,AgeGroup,0.25,0.0909090909091
15,0.902506265664,FamilySize,3.5,0.272727272727
16,0.758064516129,AgeGroup,-0.25,0.181818181818
17,0.579956095914,AgeGroup,0.25,0.181818181818
18,nan,,nan,nan
19,1.0,ThisIsAnEndNode,nan,nan
20,0.76,nTicketStrings,1.5,0.0909090909091
21,0.815384615385,FamilySize,6.5,0.181818181818
22,nan,,nan,nan
23,0.595050428002,CabinNumbers,3.81818181818,4.81818181818
24,0.601081812035,CabinNumbers,88.8181818182,8.45454545455
25,1.0,ThisIsAnEndNode,nan,nan
26,0.75,CabinNumbers,42.4545454545,6.36363636364
27,0.837335192501,CabinNumbers,6.0,6.72727272727
28,0.809523809524,nTicketStrings,1.5,0.0909090909091
29,nan,,nan,nan
30,nan,,nan,nan
31,0.921739130435,Fare,0.25,0.136363636364
32,0.8,CabinNumbers,1.5,9.0
33,1.0,ThisIsAnEndNode,nan,nan
34,0.736263736264,CabinNumbers,9.5,9.54545454545
35,0.610182370821,YesMaster,0.0,0.181818181818
36,0.574074074074,YesMiss,0.0,0.181818181818
37,nan,,nan,nan
38,nan,,nan,nan
39,nan,,nan,nan
40,nan,,nan,nan
41,nan,,nan,nan
42,1.0,ThisIsAnEndNode,nan,nan
43,1.0,ThisIsAnEndNode,nan,nan
44,nan,,nan,nan
45,nan,,nan,nan
46,nan,,nan,nan
47,0.69298245614,nTicketStrings,1.5,0.0909090909091
48,0.661375661376,CabinA,0.0,0.181818181818
49,0.8,Parch,0.5,0.181818181818
50,0.596405228758,CabinNumbers,106.545454545,5.18181818182
51,nan,,nan,nan
52,nan,,nan,nan
53,nan,,nan,nan
54,1.0,ThisIsAnEndNode,nan,nan
55,0.843828145099,Parch,0.5,0.454545454545
56,nan,,nan,nan
57,nan,,nan,nan
58,1.0,ThisIsAnEndNode,nan,nan
59,nan,,nan,nan
60,nan,,nan,nan
61,nan,,nan,nan
62,nan,,nan,nan
