"NodeNumber,LT_className_decision,GT_className_decision,LT_WeightCorrect,GT_WeightCorrect,LT_TotalWeight,GT_TotalWeight"
30,nan,1,nan,0.0157095047716,nan,0.0212355347149
246,0,0,0.0163579781356,0.00189646683393,0.0163579781356,0.0032582754843
245,0,1,0.00182296170689,0.00503969839928,0.00182296170689,0.00841193383474
244,0,1,0.0045278278634,0.00117184603576,0.0045278278634,0.00117184603576
243,1,0,0.00774362140721,0.00142548237232,0.010168419259,0.00190082453283
242,0,nan,0.00635076738353,nan,0.00635076738353,nan
241,1,1,0.000656201239062,0.00127563349598,0.000939457887819,0.00127563349598
240,0,1,0.00292847528196,0.000702594022263,0.00292847528196,0.000909885758408
239,1,0,0.0159769701841,0.00139270618323,0.0172084023148,0.00172349764977
58,nan,1,nan,0.00555748562464,nan,0.00837135860089
57,1,nan,0.0152632335104,nan,0.0152632335104,nan
114,0,nan,0.00221486632803,nan,0.00221486632803,nan
56,1,nan,0.000234605533597,nan,0.000422589921967,nan
55,1,nan,0.00121696978974,nan,0.00121696978974,nan
110,0,nan,0.00461143015556,nan,0.00461143015556,nan
220,0,nan,0.00260667536657,nan,0.00260667536657,nan
219,0,0,0.00588707966985,0.00688072073091,0.00886667786335,0.0129674366771
108,0,nan,0.00261370303642,nan,0.00261370303642,nan
216,0,0,0.0241146443996,0.0160513491146,0.0461561284987,0.0254076890027
215,0,1,0.0520392631704,0.110075636503,0.0980846852189,0.201357308648
52,0,nan,0.0165345425362,nan,0.0165345425362,nan
210,1,0,0.00422086787519,0.000856841713911,0.00832866853914,0.00122254872163
209,0,0,0.00683017716742,0.00100692478664,0.00683017716742,0.001549322323
208,1,1,0.00273662045295,0.00405533594676,0.00462029173611,0.00405533594676
207,1,0,0.00176348943828,0.0182882720936,0.00176348943828,0.0318074260524
206,0,1,0.000421386903571,0.00439152889265,0.000633476864701,0.00439152889265
205,1,0,5.89183747057e-05,0.00108118372104,5.89183747057e-05,0.00157061637239
204,0,0,0.00157900545485,0.00233019291994,0.00189432482286,0.00380342254114
203,1,nan,0.000170510879634,nan,0.000170510879634,nan
202,0,0,0.00222402999555,0.00515287023613,0.00257368981935,0.00962859182448
201,0,0,0.00564001082973,0.00118777879319,0.00668803533407,0.00185311692156
99,1,nan,0.000529896659584,nan,0.000529896659584,nan
198,1,0,0.0159394784532,0.00741588414385,0.0286989858257,0.0079007754928
197,0,1,0.00670588796553,0.000669264904461,0.00729011559687,0.000669264904461
196,0,1,0.00281584556131,0.00161318959576,0.00338224854497,0.00246198096766
195,0,0,0.0202270823209,0.00100277470586,0.0238822145837,0.0014036315891
47,1,nan,0.00174096283963,nan,0.00174096283963,nan
190,1,nan,0.000327672134916,nan,0.000327672134916,nan
189,0,0,0.00819440426281,0.0043375824792,0.00819440426281,0.00611300542041
188,0,1,0.00345739102643,0.0133777170575,0.00345739102643,0.023452959114
187,1,nan,0.00312067923721,nan,0.00312067923721,nan
186,1,nan,0.00100221917006,nan,0.00100221917006,nan
185,0,nan,0.00602986542932,nan,0.00602986542932,nan
91,nan,0,nan,0.00345665841362,nan,0.00402698966948
183,1,0,0.0351431355044,0.00291665126271,0.0455981928952,0.00339669020358
21,0,nan,0.00247101185623,nan,0.00247101185623,nan
86,1,nan,0.00125953576793,nan,0.00125953576793,nan
172,0,1,0.00142221215969,0.00294060859761,0.00162369873244,0.00508163359739
171,1,nan,0.0010828950394,nan,0.0010828950394,nan
41,0,nan,0.0018929216403,nan,0.0018929216403,nan
19,nan,1,nan,0.000480728294232,nan,0.000638992970557
39,0,nan,0.00269751111819,nan,0.00269751111819,nan
38,1,nan,0.00509686628874,nan,0.00509686628874,nan
18,1,nan,0.000114195919213,nan,0.000220865124756,nan
17,nan,0,nan,0.00197479745411,nan,0.00233816554387
72,1,nan,0.00222594205994,nan,0.00222594205994,nan
35,0,nan,0.00159138922863,nan,0.00218237153184,nan
7,1,nan,0.0210204397181,nan,0.0210204397181,nan
