"NumberOfEstimator,TreeErrorAssociatedWithCorrectness"
100,0.13542202815656912
99,0.13201506871424062
98,0.12556253510448168
97,0.1394817587563395
96,0.19236471646838593
95,0.22349874154607485
94,0.23421199666891945
93,0.22495665565069078
92,0.21842482654908868
91,0.22603454030522196
90,0.2531264918086473
89,0.24374032261376322
88,0.2761246602377827
87,0.30000139461175124
86,0.26891189523729075
85,0.28889517038057266
84,0.27753757216156727
83,0.3054951966479288
82,0.32028136308606514
81,0.34483729107018424
80,0.3322208468321277
79,0.34025266063025206
78,0.31108334534546733
77,0.34114217554739723
76,0.33683341697519975
75,0.3373070269527185
74,0.3491594538051731
73,0.3227275232123501
72,0.34393110505683655
71,0.3578861841628179
70,0.3616199854374338
69,0.3537611403399976
68,0.3706901991415086
67,0.35203996328299847
66,0.29615062500965905
65,0.3771981077053621
64,0.39009324525864997
63,0.36783645622467975
62,0.37900413023030455
61,0.3389344597556744
60,0.3542081198893854
59,0.3787753679653387
58,0.32588878598673676
57,0.40147604926028047
56,0.4279557942150375
55,0.38322239636031863
54,0.31676036744680625
53,0.37930697813285763
52,0.3434154505156951
51,0.36099033132859515
50,0.29331381746347107
49,0.3966839588388963
48,0.3789447753333052
47,0.3706702051292231
46,0.3880164908490429
45,0.398209062022964
44,0.369328236279451
43,0.35571426835568953
42,0.3702564653609618
41,0.38916540928483
40,0.37965270571147214
39,0.3625340669844711
38,0.38991691898707426
37,0.39908355909791904
36,0.40007844710984797
35,0.39368754821676555
34,0.39667700883340906
33,0.39235206818193313
32,0.39702953296037125
31,0.42677566991513216
30,0.4032982598549204
29,0.3897910843076773
28,0.4169150163566169
27,0.4140304376477506
26,0.4008331944323298
25,0.4352299589711456
24,0.4009651996260517
23,0.4051496278301364
22,0.4185344674794944
21,0.3843991102820461
20,0.392020153153086
19,0.4033644650001066
18,0.4268746879957478
17,0.39929883874926775
16,0.4125085612320232
15,0.4235435534855577
14,0.33840701874422086
13,0.4017930110811526
12,0.43723010060444545
11,0.3902629366837844
10,0.3112486010855735
9,0.325764812185255
8,0.4082917193515362
7,0.4299903655919197
6,0.4359235825629978
5,0.3898326549410397
4,0.3729204669369456
3,0.34575093275434887
2,0.3712451948457478
1,0.4450561607153335
